name_title,description
Mixit™ Silver-Tone and Purple Enamel Earring and Pendant Necklace Set,"Filigree detail, purple enamel and a textured border bring a rich vibrancy to this oval-shaped necklace and earring set.   Metal: Silver-tone metal Other Material: Enamel Earring Back: Wire Earring Dimensions: ½x1"" long Necklace Closure: Lobster clasp Necklace Dimensions: 18"" long cord with 2"" extender Pendant Size: 1½x2"" long   Jewelry photos are enlarged to show detail."
Infinite Gold™ 14K Yellow Gold Puff Heart Pendant Necklace,"Put your heart in it with this pendant necklace. Crafted from 14K yellow gold that's gone through a patented hardening process, this necklace is exceptionally durable and resistant to denting, scratching and breaking. It will also maintain its consistency in color, shine and vibrancy for many years. Hypoallergenic and nickel free.   Metal: 14K yellow gold Closure: Spring-ring Length: 18"" box chain Pendant Size: 10.45x8.95mm Jewelry photos are enlarged to show detail.  "
Genuine Peridot and 1/10 CT. T.W. Diamond Earrings,A web of diamonds ensnares the round gemstones on the masterpiece design of these earrings.Metal: Sterling silverStones: 1/10 ct. t.w. diamondsOther Stones: 6x6mm round genuine peridotSetting: ProngDimensions: 12.8x12.5mm longDiamond total weights may vary between .01 and .08 carat.Gemstones may be treated and may require special care.Jewelry photos are enlarged to show detail.
IZOD® Solid Flat-Front Shorts,Straight-fit shorts are just the right style for a day on the golf course.   straight fit sits at waist 2 front slash pockets length falls above the knee polyester washable imported
Mixit™ Blue Seedbead and Silver-Tone Braid Necklace,"Metal: Silver-tone metalStones: Blue seedbeadsClosure: Lobster claspDimensions: 18"" long chain  Jewelry photos are enlarged to show detail."
Arizona Schoolgirl Cropped Pants,"Switch out basic bottoms for the abbreviated cut of our cropped pants when you want a slimming and sun-savvy look. 23"" inseam cotton/spandex washable imported"
Stafford® Executive Non-Iron Cotton Pinpoint Oxford Dress Shirt - Big & Tall,"Enjoy the unparalleled fit and comfort of a classic with this 100% cotton oxford dress shirt from Stafford. non-iron performance fused collar, cuffs and front placket stay crisp and neat right out of the dryer specially sewn seams to lay flat and resist puckering reinforced cross-stitched buttons are extremely durable button-down collar chest pocket adjustable cuffs long shirttail that stays tucked 100% cotton washable imported"
Van Heusen® Short-Sleeve Woven Button-Front Shirt,Our button-front shirt features a collar that can be buttoned down or pointed for a versatile look.  button-down or pointed collar short sleeves button front one front patch pocket cotton/polyester washable imported
Wabash Valley Farms™ Sweet & Easy Snack Machine™ Popcorn Set,"This popcorn set will put your taste buds into overdrive. The popper is paired with farm-fresh Amish Country Popcorn and On the Edge Seasonings for an experience that’s truly gourmet. direct-drive stirring mechanism allows for perfect popcorn as well as roasted nuts, chocolate treats and more locking, spring-loaded hinged lid with wide opening for easy pouring effortless stirring hard-coated anodized lid is extra thick and resistant to scratching, chipping and peeling induction compatible handcrafted bamboo bowl in charcoal burlap bag features decorative Amish print hand wash 17-pound net weight made in America; popper and bowl are imported Set includes: 6-quart capacity stainless steel popper 6-quart capacity serving bowl two 2-pound Farm Fresh Burlap Popping Corn - Big & Yellow two 2-pound Farm Fresh Burlap Popping Corn - Tender & White On the Edge Seasonings sampler pack:          1-ounce French Toast (contains milk/dairy)          1-ounce Baby Back Ribs          1-ounce Ketchup Please (contains soy)          1-ounce Chocolate Chip Cookie Dough (contains milk/dairy)"
Simmons Kids™ Slumber Time Elite Double Dresser - Espresso Truffle,"This six-drawer dresser expertly combines the best of style and functionality. Its unique V-Match veneer adds personality to any décor, while spacious drawers, metal roller guides and security stops make it easy to use. 6 drawers metal roller glides security stops 47½x20¼x33½""H assembly required wood/MDF wipe clean with mild soap and water imported meets CPSIA/CPSC requirements and all JPMA safety certifications"
Girls Cultured Freshwater Pearl 14K Gold 3-pc. Jewelry Set,"She’ll be glowing in classic pearls with this beautiful girls' three-piece set that includes a bracelet, stud earrings, and a lovely necklace in 14K yellow gold.   Metal: 14K yellow gold Stones: Cultured freshwater pearls Necklace Closure: Spring-ring Necklace Length: 15"" cable chain Bracelet Closure: Spring-ring Bracelet Length: 5"" Earring Back: Friction Jewelry photos are enlarged to show detail."
Alfred Dunner® St. Augustine Short-Sleeve Floral Embroidery Top,"Floral embroidery lends a feminine touch to our short-sleeve Alfred Dunner top. v-neck short sleeves missy: 25"" length petite: 23"" length cotton/polyester machine wash, line dry imported"
Ambrielle® Knit Sleep Shorts,Enjoy a peaceful night’s sleep in these sleep shorts with a comfy elastic waistband. elastic waistband       4½ʺ inseam polyester/spandex washable imported
Zoo York® Diamond Dealer T-Shirt,The easy comfort of this Zoo York tee gives you an unmistakable east coast look. tagless crewneck polyester/cotton/rayon washable made in America
Dickies® Regular-Fit Straight-Leg Double Knee Twill Work Pants,"These Dickies work pants provide heavy-duty comfort, by featuring woven-in stretch for mobility and ease of movement, while their double-knee durability ensures they work just as hard as you do.   sits slightly below waist easy-care stain release wrinkle resistant tunnel belt loops multi-use cell phone pocket zipper fly reinforced double knee polyester/cotton washable imported"
My Baby Sam Imagine Valance,"This neutral gray and white diamond pattern valance with striped trim offers endless decorating possibilities in the nursery. 4"" band measures 15x54"" 100% cotton machine wash, dry flat imported"
Providence Leaner Mirror,"The sleek silhouette of this mirror reflects the beauty of your bedroom’s uncomplicated style.   poplar and rubberwood construction with a cherry veneer espresso finish coordinates perfectly with Providence dressers, sold separately Measures 37x4x84""H. Wipe clean with a damp cloth. Imported."
Gloria Vanderbilt® Amanda Skimmer Capris - Plus,"Classic skimmer capris from Gloria Venderbilt will keep your weekends casual and comfortable. classic fit mid rise shank button-and-zip closure 5-pocket styling 16 ½"" inseam rinse, whitney: cotton/polyester/spandex denim pink persimmon, aruba aqua, prism white: cotton/spandex washable imported"
Stafford® Travel Performance Super Shirt−Big And Tall,"It doesn't get more easy-care than the Performance dress shirt from Stafford, which makes your business casual style both stain-resistant and wrinkle-free. wrinkle-free performance fused collar, cuffs and front placket stay crisp and neat right out of the dryer specially sewn seams to lay flat and resist puckering treated with stain release and repel point collar comfort-stretch collar reinforced cross-stitched buttons are extremely durable chest pocket long shirttail that stays tucked more sizes: regular, athletic, big, extra tall cotton/polyester broadcloth washable imported "
Stacy Adams® Rayburn Mens Wingtip Lace-Up Oxfords,Subtle laser-cut details and a handsome look give these oxfords a great look that's perfect for any occasion. leather/synthetic upper fully cushioned insole rubber sole
Nike® Short-Sleeve Modern Cotton Tee - Preschool Girls 4-6x,"Our modern tee from Nike is made from 100% cotton for a comfy feel, perfect for a long day of school or a playful weekend at home. roundneck short sleeves 100% cotton washable imported"
Cathy's Concepts Mrs. & Mrs. Gatsby XL Beer and Wine Glass Set,"Inspired by the Roaring Twenties, the Mr. & Mrs. Gatsby XL beer and wine glass set are tailored with Art Deco typography and feature indulgent sizes and a custom luxurious look that make them perfect for weddings or any special occasion. set of 2 pilsner: 54-oz.; 3.75""H wine: 25-oz.; 4.25""H custom engraving options 100% clear glass hand wash only imported"
City Triangles® Sleeveless Floral-Print Poplin Dress- Juniors,"Be ready to dazzle in our charming sleeveless floral-print poplin dress with crochet straps. 35"" length from shoulder fully lined bra cups 100% cotton washable imported"
Household Essentials® Outdoor Dryer,"Hang your clothes out to dry and save money while you're at it with the Household Essentials outdoor dryer.   same level line for easy access pivoting square top brings every space within reach no-rust galvanized steel center post (1.5"" diameter) comes in 2 pieces completely pre-strung and ready for installation single action opens and closes dryer folds compactly to store high-impact plastic post cap and slide resists wear fun and attractive ground sleeve included steel upper structure  includes 30 lines for 210' of drying space Set up size: 72x84x72""H. Imported. "
I. Miller Karilyn Embellished Ankle-Strap Sandals,"Fashioned with attention-getting metallic tones and dazzling embellishments, these ankle-strap sandals are sure to be the crowning jewel in your ensemble. synthetic metallic upper stone detail slingback strap with adjustable buckle 1"" heel composition rubber sole  "
Liz Claiborne® Eden Valance,"Pair this beautiful valance with our Eden curtain panels for an elegant makeover to your windows.   classic rod-pocket styling decorative flange on bottom lined for an upscale look   Measures 84x15""L. Sold individually. 3"" rod pocket. Cotton with cotton/polyester lining. Washable. Imported."
Knit Works® 3/4-Sleeve Top and Scarf Set - Girls 7-16,"An easy and cute outfit combination, this top and scarf set features a fresh chevron pattern, graphic print and elegant crochet-back inset. set includes 3/4-sleeve top and matching scarf scoopneck crochet back high-low hem top: cotton/polyester/rayon scarf: polyester top: machine wash, line dry scarf: hand wash, line dry imported"
Flirtitude® Lace-Back Hipster Panties,Lavishing lace and vibrant color add sass to Flirtitude’s modern hipster panties.   front panel: cotton/spandex back panel: nylon/spandex washable imported
